                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.2609,                0.69642,                 1.4126,                0.93733,                0.95257,                0.97153,                0.66745,                 1.0907,                0.60425,                 1.3228,               0.003169,               0.003169,               0.003169
                     71,                 1.2027,                0.69112,                 1.3619,                0.93504,                0.94742,                0.96958,                0.65629,                 1.0787,                0.59743,                 1.3091,                0.00307,                0.00307,                0.00307
                     72,                 1.1952,                0.67461,                 1.3637,                0.91817,                0.95329,                0.95649,                0.65903,                 1.0692,                0.60381,                 1.2945,               0.002971,               0.002971,               0.002971
                     73,                 1.2709,                0.77238,                 1.4244,                0.95515,                0.94958,                0.97991,                  0.683,                  1.064,                0.57344,                 1.2798,               0.002872,               0.002872,               0.002872
                     74,                  1.221,                 0.6913,                 1.3547,                0.96072,                0.95541,                0.97869,                 0.6897,                 1.0381,                0.55578,                 1.2878,               0.002773,               0.002773,               0.002773
                     75,                 1.1503,                0.64545,                 1.3123,                0.95717,                0.94889,                0.97964,                 0.6843,                 1.0544,                0.58287,                 1.2829,               0.002674,               0.002674,               0.002674
                     76,                 1.1613,                0.67616,                 1.3413,                0.96406,                0.94692,                0.97264,                0.68226,                 1.0547,                0.57247,                 1.2853,               0.002575,               0.002575,               0.002575
                     77,                  1.242,                0.67849,                 1.3978,                 0.9531,                0.94692,                0.97522,                0.69253,                 1.0257,                0.55528,                 1.2757,               0.002476,               0.002476,               0.002476
                     78,                 1.1913,                0.69306,                 1.3463,                0.95167,                0.95541,                0.96132,                0.67988,                 1.0234,                0.56172,                 1.2711,               0.002377,               0.002377,               0.002377
                     79,                 1.1762,                0.65203,                 1.3095,                0.95384,                0.95117,                0.97407,                0.68736,                 1.0502,                0.55586,                 1.2681,               0.002278,               0.002278,               0.002278
                     80,                 1.1809,                0.66177,                 1.3389,                0.96726,                 0.9408,                0.98139,                0.71203,                0.97662,                0.52638,                 1.2438,               0.002179,               0.002179,               0.002179
                     81,                 1.1183,                0.67121,                 1.2569,                 0.9732,                0.95541,                0.98471,                0.70296,                0.99463,                0.53139,                 1.2421,                0.00208,                0.00208,                0.00208
                     82,                 1.1924,                0.65839,                 1.3661,                 0.9538,                0.95966,                0.98016,                  0.698,                0.98823,                0.55084,                 1.2416,               0.001981,               0.001981,               0.001981
                     83,                 1.1783,                0.63919,                 1.3183,                0.95034,                0.95329,                0.97435,                0.69069,                 1.0018,                0.55793,                  1.244,               0.001882,               0.001882,               0.001882
                     84,                 1.1166,                0.64472,                 1.3156,                0.95016,                0.97142,                0.98358,                0.70699,                0.98554,                0.53172,                 1.2389,               0.001783,               0.001783,               0.001783
                     85,                 1.1832,                0.66335,                 1.3298,                0.96793,                0.96126,                0.98324,                0.71261,                0.94841,                 0.5083,                 1.2197,               0.001684,               0.001684,               0.001684
                     86,                 1.0877,                0.62067,                 1.2793,                 0.9617,                0.95966,                0.98473,                0.71294,                 0.9641,                 0.5225,                 1.2297,               0.001585,               0.001585,               0.001585
                     87,                 1.0877,                0.60595,                 1.2966,                0.95261,                0.96391,                0.98238,                0.71766,                0.96273,                0.51863,                 1.2313,               0.001486,               0.001486,               0.001486
                     88,                 1.0804,                 0.6062,                  1.277,                0.95331,                0.97028,                0.98438,                0.72198,                 0.9541,                0.52058,                 1.2143,               0.001387,               0.001387,               0.001387
                     89,                 1.0915,                0.62995,                  1.273,                0.97171,                0.96178,                0.98553,                0.72615,                0.93708,                0.51795,                 1.2087,               0.001288,               0.001288,               0.001288
                     90,                  1.049,                0.60865,                 1.2587,                0.96073,                0.95329,                0.97839,                0.72077,                0.95247,                0.52257,                 1.2162,               0.001189,               0.001189,               0.001189
                     91,                 1.0456,                0.57098,                 1.2744,                0.97043,                 0.9724,                0.98714,                0.72398,                0.93953,                0.51236,                 1.2068,                0.00109,                0.00109,                0.00109
                     92,                0.99572,                0.54403,                   1.25,                0.95373,                0.98089,                0.98755,                0.72959,                0.94433,                0.50784,                 1.2102,               0.000991,               0.000991,               0.000991
                     93,                0.99631,                0.57252,                 1.2461,                0.96497,                0.98089,                0.98942,                0.73996,                0.91462,                0.49647,                 1.1893,               0.000892,               0.000892,               0.000892
                     94,                 1.0601,                0.60281,                 1.2273,                0.95443,                0.97829,                0.98842,                0.73599,                0.91645,                0.50262,                 1.1931,               0.000793,               0.000793,               0.000793
                     95,                 1.0067,                0.55502,                 1.2522,                0.95626,                0.97483,                0.98957,                0.74004,                0.89396,                0.49646,                 1.1846,               0.000694,               0.000694,               0.000694
                     96,                0.96803,                 0.5216,                 1.2369,                0.96405,                0.96788,                0.98974,                0.75306,                 0.8829,                0.47941,                 1.1845,               0.000595,               0.000595,               0.000595
                     97,                 1.0046,                0.53794,                  1.234,                 0.9649,                 0.9724,                0.98944,                0.75776,                0.88182,                0.48225,                   1.18,               0.000496,               0.000496,               0.000496
                     98,                0.94685,                0.51896,                 1.2319,                0.96844,                0.97734,                0.99122,                0.75702,                0.86422,                0.47605,                 1.1721,               0.000397,               0.000397,               0.000397
                     99,                0.98713,                0.51979,                 1.2591,                0.96821,                0.97452,                0.98912,                0.75601,                0.85825,                0.47151,                 1.1719,               0.000298,               0.000298,               0.000298
